state_fips,state,period,Peer_Rank,PCA_Distance,Same_Cluster_as_Illinois,Cluster_ID,Cluster_Name,Illinois_Cluster_ID,Illinois_Cluster_Name,PC1,PC2,PC3,PC4,Period_Label
33,New Hampshire,Baseline_2015_2019,1,1.5679452051080713,False,2,Balanced Manufacturing-Healthcare Economies,0,High-Capacity Professional-Service Economies,0.1794609554618966,-0.7072084673503258,0.3849173766361303,0.5687506453969827,Baseline: 2015–2019
51,Virginia,Baseline_2015_2019,2,1.6519855253982136,True,0,High-Capacity Professional-Service Economies,0,High-Capacity Professional-Service Economies,1.3630309993895262,-1.844793201901958,-1.6897545101311966,-0.5714618299599545,Baseline: 2015–2019
34,New Jersey,Baseline_2015_2019,3,1.6528441192707664,True,0,High-Capacity Professional-Service Economies,0,High-Capacity Professional-Service Economies,2.469492266946938,-0.9742524963986088,-0.3530634595702763,-0.5440736703689918,Baseline: 2015–2019
24,Maryland,Baseline_2015_2019,4,1.8092231145335682,True,0,High-Capacity Professional-Service Economies,0,High-Capacity Professional-Service Economies,2.176387719560231,-1.0785629051483137,-0.9279869629611176,-0.9818774717048032,Baseline: 2015–2019
08,Colorado,Baseline_2015_2019,5,1.9068145625690192,False,5,Professional-Service Low-Healthcare Economies,0,High-Capacity Professional-Service Economies,0.8092910533311071,-0.1703391294546927,-1.7760369992061598,-0.1571630238103534,Baseline: 2015–2019
33,New Hampshire,Shock_2020_2022,1,1.0281928631305344,True,0,High-Capacity Professional-Service Economies,0,High-Capacity Professional-Service Economies,1.4812628865464268,-0.7672953186666808,0.3752975938740668,0.6980947319747411,Shock: 2020–2022
34,New Jersey,Shock_2020_2022,2,1.654743432390747,True,0,High-Capacity Professional-Service Economies,0,High-Capacity Professional-Service Economies,3.2478980148863714,-0.99001186975573,-0.2131554235567414,-0.5211982522490531,Shock: 2020–2022
08,Colorado,Shock_2020_2022,3,1.7473511833371742,True,0,High-Capacity Professional-Service Economies,0,High-Capacity Professional-Service Economies,2.266486574260147,-0.1643790081541673,-1.508039633037653,0.0243834933248436,Shock: 2020–2022
24,Maryland,Shock_2020_2022,4,1.75768647120613,True,0,High-Capacity Professional-Service Economies,0,High-Capacity Professional-Service Economies,2.7022898971981246,-1.2100752266692572,-0.9349128909331116,-0.9773584195427216,Shock: 2020–2022
51,Virginia,Shock_2020_2022,5,1.8136505378963022,True,0,High-Capacity Professional-Service Economies,0,High-Capacity Professional-Service Economies,2.31912012597276,-1.953222080990338,-1.628629477113657,-0.5128484756745152,Shock: 2020–2022
33,New Hampshire,Post_Shock_2023_2024,1,0.519311433922661,True,0,High-Capacity Professional-Service Economies,0,High-Capacity Professional-Service Economies,1.5989613592845684,-0.8507928103708227,0.2402433284354405,0.6172152064933341,Post-shock: 2023–2024
34,New Jersey,Post_Shock_2023_2024,2,1.6290511007439736,True,0,High-Capacity Professional-Service Economies,0,High-Capacity Professional-Service Economies,3.0489345919759763,-0.740265063796608,0.0425326673294907,-0.5755414062192334,Post-shock: 2023–2024
48,Texas,Post_Shock_2023_2024,3,1.7454686239644348,False,5,Professional-Service Low-Healthcare Economies,0,High-Capacity Professional-Service Economies,1.342909106053221,0.1775546228602808,-1.2049071736187138,0.3304049862587476,Post-shock: 2023–2024
24,Maryland,Post_Shock_2023_2024,4,1.8109582366806223,True,0,High-Capacity Professional-Service Economies,0,High-Capacity Professional-Service Economies,2.6501316899986604,-1.0588973167194424,-0.8295640724117769,-0.9539080158254036,Post-shock: 2023–2024
10,Delaware,Post_Shock_2023_2024,5,1.812338277416731,True,0,High-Capacity Professional-Service Economies,0,High-Capacity Professional-Service Economies,2.331665763369809,0.0684189116211011,0.800311421278085,-0.4736046948660301,Post-shock: 2023–2024
