state_fips,state,period,Cluster_ID,Cluster,Silhouette_Value,Distance_to_Assigned_Centroid,real_gdp_per_capita,real_personal_income_per_capita_2017,real_output_per_job,real_average_wages_salaries_2017,manufacturing_share,professional_business_share,healthcare_share,natural_resources_agriculture_share,Cluster_Name
01,Alabama,Baseline_2015_2019,6,Cluster_6,0.45995464862485425,1.050315959882105,43769.07447778995,40111.13452037933,81768.74297331192,45499.20485418472,13.592490063955731,12.51202338494679,13.847323444531307,0.943139295422702,Lower-Capacity Manufacturing-Intensive Economies
02,Alaska,Baseline_2015_2019,3,Cluster_3,0.637017230638876,0.734513020829646,71828.36039225149,57494.53844977215,116267.08015162998,58207.08905297539,4.0932139321681165,8.901250634178389,14.8817347063353,4.676032780158638,High-Capacity Resource-Specialized Economies
04,Arizona,Baseline_2015_2019,5,Cluster_5,0.31958558946235516,1.4362878754636572,48412.50228238716,43305.01858804575,88984.17165914993,51354.04260687754,6.004268266732034,15.315020508827738,13.83823412176756,1.370042620174988,Professional-Service Low-Healthcare Economies
05,Arkansas,Baseline_2015_2019,6,Cluster_6,0.25778506052665456,1.5439947718208793,41626.09477049868,41397.76695858869,75836.13231054564,43426.40333666933,13.163333219035636,12.15028625001376,16.586404707859323,1.414396694722525,Lower-Capacity Manufacturing-Intensive Economies
06,California,Baseline_2015_2019,0,Cluster_0,0.2627007700003102,1.5967577757515812,69788.31604441292,58404.81440547229,116558.44306348944,66324.76314974121,7.678277951373732,15.324004482539204,14.377243535277051,2.6156973066149893,High-Capacity Professional-Service Economies
08,Colorado,Baseline_2015_2019,5,Cluster_5,0.3930028716633804,0.8585386296855079,63119.19514561646,54982.35093408491,94177.79976232798,57919.31586690767,5.561717861353157,15.971952101345323,12.81961038903754,1.7170074372909387,Professional-Service Low-Healthcare Economies
09,Connecticut,Baseline_2015_2019,4,Cluster_4,0.29607207959895615,1.3318758212082995,75407.04792656304,69636.07953697028,118303.23997277464,66024.88619122903,9.566446273682564,13.206777841483888,17.15350719485921,0.3184919755238707,Very-High-Capacity Service-Healthcare Economies
10,Delaware,Baseline_2015_2019,0,Cluster_0,0.2567742097214948,1.3641767474059454,75497.95341619418,50207.643370164544,123953.3576330803,55073.88820551649,6.011611574815346,14.022375279253929,16.713846190160677,0.3086759746027877,High-Capacity Professional-Service Economies
12,Florida,Baseline_2015_2019,5,Cluster_5,0.34382357195562757,1.5105828224710747,48758.86287128132,48579.59783457166,83915.77342473906,50134.88248452701,4.279376002456348,15.550372469481928,13.951164944116588,0.8986390031604827,Professional-Service Low-Healthcare Economies
13,Georgia,Baseline_2015_2019,5,Cluster_5,0.3737639407466314,1.1562221882129131,55752.57889354214,44695.29736304946,94887.6899579518,53042.863485618494,9.068478164964198,15.523520745647692,12.307979162697828,0.6866770543355238,Professional-Service Low-Healthcare Economies
15,Hawaii,Baseline_2015_2019,5,Cluster_5,0.5226071885325737,0.8551561073500183,59716.09895059392,50181.02568861489,94989.18776425082,50943.78365675503,2.9901678047600804,13.088186581580525,12.093733016964254,0.9451923886690426,Professional-Service Low-Healthcare Economies
16,Idaho,Baseline_2015_2019,1,Cluster_1,0.14448537787694168,1.9771268467663579,42612.10544186456,41609.284802985145,73353.02703119654,42005.56957231244,9.250610074849476,12.39612474001692,14.192554384008512,3.779091238378478,Lower-Capacity Resource-Healthcare Economies
17,Illinois,Baseline_2015_2019,0,Cluster_0,0.1418271169949114,1.3078826302149409,64961.7688219453,53603.21198350401,107217.90814123533,59416.98528203349,9.818716321424697,15.880208020965384,13.47001760897166,0.4507616128098995,High-Capacity Professional-Service Economies
18,Indiana,Baseline_2015_2019,6,Cluster_6,0.3804457527924021,1.2675564312349938,53378.96297791624,44788.50229219983,91681.42045540872,46838.46549459668,17.61433503266276,11.227840607985652,14.297910452063563,0.7038989810458873,Lower-Capacity Manufacturing-Intensive Economies
19,Iowa,Baseline_2015_2019,6,Cluster_6,0.29415282131177295,1.4526484900819496,59323.91906085742,47128.25141300047,90706.47562484811,45188.8791336592,14.188913913375693,9.042951768199291,14.402648965183811,1.4580378075401603,Lower-Capacity Manufacturing-Intensive Economies
20,Kansas,Baseline_2015_2019,6,Cluster_6,0.142710133062544,0.8872464069137189,56605.16310960519,48652.55897245077,86422.25304376542,46638.07577290907,11.839577115949249,13.0379515055826,14.685556716636622,1.4107574003464567,Lower-Capacity Manufacturing-Intensive Economies
21,Kentucky,Baseline_2015_2019,6,Cluster_6,0.44937759739751043,0.8270682707895437,45687.94845874336,40598.049651395,81162.40953483133,45003.95115874348,13.295443876114192,11.616351899376472,14.661596028178616,1.0318521097917457,Lower-Capacity Manufacturing-Intensive Economies
22,Louisiana,Baseline_2015_2019,1,Cluster_1,0.40874812943123096,0.43129417901787453,51644.51477583097,43982.04849380137,89241.0868902979,48078.42881813707,7.168245457935638,11.31874575168874,15.77181184098983,2.395889479869556,Lower-Capacity Resource-Healthcare Economies
23,Maine,Baseline_2015_2019,1,Cluster_1,0.1576443591989777,1.4601737962997046,47125.519458002345,46000.45426057324,76152.62384565067,45122.87307064876,9.34954171579395,11.163297294028286,18.023737963113355,1.1324688383431285,Lower-Capacity Resource-Healthcare Economies
24,Maryland,Baseline_2015_2019,0,Cluster_0,0.4106591271015452,0.9142534318115438,64660.57668833075,58127.17098136873,107019.59643645798,61267.16269274085,4.045904202014424,17.124403161277286,14.443594782709194,0.2486522798754704,High-Capacity Professional-Service Economies
25,Massachusetts,Baseline_2015_2019,4,Cluster_4,0.22614827855667655,1.3877487758698213,77165.28722940353,66295.22588120343,112424.64251097346,68677.6291920478,6.950861600787339,16.172430433278258,18.15813174236534,0.2642644442228693,Very-High-Capacity Service-Healthcare Economies
26,Michigan,Baseline_2015_2019,6,Cluster_6,0.11055818396742975,1.1881080889562536,50467.95844632422,45455.13371810501,90043.23647316903,51943.43008678047,14.270960358276858,15.183699368712391,15.12235882815138,0.8476488259509297,Lower-Capacity Manufacturing-Intensive Economies
27,Minnesota,Baseline_2015_2019,2,Cluster_2,0.4941947393710417,0.6365143901213935,63722.208283241154,54080.31306112637,95677.99488166622,55359.07644439813,11.241122991358234,13.168469129368711,17.035291498418893,0.9721415515454568,Balanced Manufacturing-Healthcare Economies
28,Mississippi,Baseline_2015_2019,6,Cluster_6,0.16333283235167073,2.4152527804296713,36987.57614042955,36706.37889248547,69295.36548643502,40017.702738843465,12.828077774749138,9.909267470252932,15.768341415199302,1.4767080712149685,Lower-Capacity Manufacturing-Intensive Economies
29,Missouri,Baseline_2015_2019,2,Cluster_2,0.06705085476380634,1.5504271524778663,51157.04053590627,45134.56932324193,83827.30003970944,48647.6607549745,9.672989466759743,13.839790372635974,16.536231144498057,0.5948278998544975,Balanced Manufacturing-Healthcare Economies
30,Montana,Baseline_2015_2019,1,Cluster_1,0.4048100757010314,1.5058993204063464,46041.389003508106,45570.14201921967,72091.5698897208,42264.75105373042,4.3513639599640594,9.114212602360976,15.461874079533288,2.708665748214216,Lower-Capacity Resource-Healthcare Economies
31,Nebraska,Baseline_2015_2019,2,Cluster_2,0.16017028470740546,1.3634081442748944,63883.15595733984,50436.53955789324,93653.21153415515,46709.29660501791,10.120317843692776,12.290422902002586,14.691126925442074,1.586388703542529,Balanced Manufacturing-Healthcare Economies
32,Nevada,Baseline_2015_2019,5,Cluster_5,0.4415818818291695,1.8347038857991798,55040.91815665372,47173.99687597675,91496.67009788546,49643.15277244624,3.7249544093909415,13.765237045191146,9.899541069702572,1.3630579459629153,Professional-Service Low-Healthcare Economies
33,New Hampshire,Baseline_2015_2019,2,Cluster_2,0.3434169331477296,0.8269009148726694,60067.02778186563,58192.13021287791,92731.27181303906,54396.21566545221,10.61588325267647,12.473644367423832,14.728267631191311,0.3961826515041353,Balanced Manufacturing-Healthcare Economies
34,New Jersey,Baseline_2015_2019,0,Cluster_0,0.5365901120967798,0.4571080457035507,65066.813619707886,62112.1687303881,109444.20859867652,63823.52357258374,6.078106937122802,16.66378624892019,14.974907917175235,0.3173801014520315,High-Capacity Professional-Service Economies
35,New Mexico,Baseline_2015_2019,1,Cluster_1,0.40313918422356443,1.7585390694748353,45303.71135023407,39794.57131748858,86450.73685961275,45245.80075969092,3.346661877408049,13.144674880324173,17.097230439031577,4.236931833512451,Lower-Capacity Resource-Healthcare Economies
36,New York,Baseline_2015_2019,4,Cluster_4,0.4246733597212595,0.6785169141382003,80805.47743186663,61362.37187413543,131118.250483655,70098.50198768101,4.791632066211069,14.289156627086708,17.469406498483366,0.3338319175124052,Very-High-Capacity Service-Healthcare Economies
37,North Carolina,Baseline_2015_2019,6,Cluster_6,0.026569369884821104,1.4490848281911723,53732.89483519849,44421.61755954662,92191.44267425612,50017.78870661524,10.829846048440547,14.418891981269612,14.092062513508896,0.7132353986411498,Lower-Capacity Manufacturing-Intensive Economies
38,North Dakota,Baseline_2015_2019,3,Cluster_3,0.5709735712535774,0.6850757997626079,74922.84227322866,53436.64149813112,99033.22917525042,50296.27534401134,6.02920263034065,8.397226582057568,15.255260591338264,5.741323207485509,High-Capacity Resource-Specialized Economies
39,Ohio,Baseline_2015_2019,2,Cluster_2,0.14071894277706035,1.1330227672092392,55460.580771744986,46194.79136596154,93171.74094702686,50073.94881671004,12.904993931941789,13.715068685965658,16.411641012799922,0.5292528097126712,Balanced Manufacturing-Healthcare Economies
40,Oklahoma,Baseline_2015_2019,1,Cluster_1,0.24927058552056225,1.5933360442071314,49591.83969756089,44747.7125339276,84647.99373589452,46439.58940450707,8.524896857859071,12.067348873459796,13.726977865690134,3.746036970409956,Lower-Capacity Resource-Healthcare Economies
41,Oregon,Baseline_2015_2019,1,Cluster_1,0.05800672260292706,1.4645901103774446,54179.87303336964,47745.67899679924,89481.99647196557,52132.80193763075,10.174914486119976,13.211700690953103,14.556376237951747,2.9867860515046987,Lower-Capacity Resource-Healthcare Economies
