state_fips,state,period,Peer_Rank,PCA_Distance,Same_Cluster_as_Illinois,Cluster_ID,Cluster_Name,Illinois_Cluster_ID,Illinois_Cluster_Name,PC1,PC2,PC3,PC4
33,New Hampshire,Baseline_2015_2019,1,1.5679452051080713,False,2,Balanced Manufacturing-Healthcare Economies,0,High-Capacity Professional-Service Economies,0.1794609554618966,-0.7072084673503258,0.3849173766361303,0.5687506453969827
51,Virginia,Baseline_2015_2019,2,1.6519855253982136,True,0,High-Capacity Professional-Service Economies,0,High-Capacity Professional-Service Economies,1.3630309993895262,-1.844793201901958,-1.6897545101311966,-0.5714618299599545
34,New Jersey,Baseline_2015_2019,3,1.6528441192707664,True,0,High-Capacity Professional-Service Economies,0,High-Capacity Professional-Service Economies,2.469492266946938,-0.9742524963986088,-0.3530634595702763,-0.5440736703689918
24,Maryland,Baseline_2015_2019,4,1.8092231145335682,True,0,High-Capacity Professional-Service Economies,0,High-Capacity Professional-Service Economies,2.176387719560231,-1.0785629051483137,-0.9279869629611176,-0.9818774717048032
08,Colorado,Baseline_2015_2019,5,1.9068145625690192,False,5,Professional-Service Low-Healthcare Economies,0,High-Capacity Professional-Service Economies,0.8092910533311071,-0.1703391294546927,-1.7760369992061598,-0.1571630238103534
13,Georgia,Baseline_2015_2019,6,1.9486650380785762,False,5,Professional-Service Low-Healthcare Economies,0,High-Capacity Professional-Service Economies,-0.4656960803806287,-1.4872195360477638,-1.3617331166657018,0.1869723421654281
10,Delaware,Baseline_2015_2019,7,2.050826368943482,True,0,High-Capacity Professional-Service Economies,0,High-Capacity Professional-Service Economies,1.919621650438064,-0.1443125552079994,0.5939778764911513,-0.5042354450503517
06,California,Baseline_2015_2019,8,2.201377642520254,True,0,High-Capacity Professional-Service Economies,0,High-Capacity Professional-Service Economies,2.2412289802142387,0.5904080163467484,-0.7316357719434902,0.4534492366768602
48,Texas,Baseline_2015_2019,9,2.3050120083509293,False,5,Professional-Service Low-Healthcare Economies,0,High-Capacity Professional-Service Economies,0.0004805153363458,0.3721992047711835,-1.2649442862722622,0.1331430182328047
37,North Carolina,Baseline_2015_2019,10,2.3368397172853674,False,6,Lower-Capacity Manufacturing-Intensive Economies,0,High-Capacity Professional-Service Economies,-1.0266516393996363,-1.2592369007882602,-0.3283751335254569,0.1008760180700097
